IDŐ, ÚTX, DELTAX, FX
 283, 28.289549, 0.153748, 4742.625000
 284, 28.443296, 0.153748, 4742.625000
 285, 28.597044, 0.153748, 4742.625000
 286, 28.750792, 0.153748, 4742.625000
 287, 28.904539, 0.153748, 4742.625000
 288, 29.058287, 0.153748, 4742.625000
 289, 29.212034, 0.153748, 4742.625000
 290, 29.365782, 0.153748, 4742.625000
 291, 29.519529, 0.153748, 4742.625000
 292, 29.673277, 0.153748, 4742.625000
 293, 29.827024, 0.153748, 4742.625000
 294, 29.980772, 0.153748, 4742.625000
 295, 30.134520, 0.153748, 4742.625000
 296, 30.288267, 0.153748, 4742.625000
 297, 30.442015, 0.153748, 4742.625000
 298, 30.595762, 0.153748, 4742.625000
 299, 30.749510, 0.153748, 4742.625000
 300, 30.903257, 0.153748, 4742.625000
 301, 31.057005, 0.153748, 4742.625000
 302, 31.210752, 0.153748, 4742.625000
 303, 31.364500, 0.153748, 4742.625000
 304, 31.518248, 0.153748, 4742.625000
 305, 31.671995, 0.153748, 4742.625000
 306, 31.825743, 0.153748, 4742.625000
 307, 31.979490, 0.153748, 4742.625000
 308, 32.133236, 0.153746, 4742.624512
 309, 32.286983, 0.153748, 4742.625000
 310, 32.440731, 0.153748, 4742.625000
 311, 32.594479, 0.153748, 4742.625000
 312, 32.748226, 0.153748, 4742.625000
 313, 32.901974, 0.153748, 4742.625000
 314, 33.055721, 0.153748, 4742.625000
 315, 33.209469, 0.153748, 4742.625000
 316, 33.363216, 0.153748, 4742.625000
 317, 33.516964, 0.153748, 4742.625000
 318, 33.670712, 0.153748, 4742.625000
 319, 33.824459, 0.153748, 4742.625000
 320, 33.978207, 0.153748, 4742.625000
 321, 34.131954, 0.153748, 4742.625000
 322, 34.285702, 0.153748, 4742.625000
 323, 34.439449, 0.153748, 4742.625000
 324, 34.593197, 0.153748, 4742.625000
 325, 34.746944, 0.153748, 4742.625000
 326, 34.900692, 0.153748, 4742.625000
 327, 35.054440, 0.153748, 4742.625000
 328, 35.208187, 0.153748, 4742.625000
 329, 35.361935, 0.153748, 4742.625000
 330, 35.515682, 0.153748, 4742.625000
 331, 35.669430, 0.153748, 4742.625000
 332, 35.823177, 0.153748, 4742.625000
 333, 35.976925, 0.153748, 4742.625000
 334, 36.130672, 0.153748, 4742.625000
 335, 36.284420, 0.153748, 4742.625000
 336, 36.438168, 0.153748, 4742.625000
 337, 36.591915, 0.153748, 4742.625000
 338, 36.745663, 0.153748, 4742.625000
 339, 36.899410, 0.153748, 4742.625000
 340, 37.053158, 0.153748, 4742.625000
 341, 37.206905, 0.153748, 4742.625000
 342, 37.360653, 0.153748, 4742.625000
 343, 37.514400, 0.153748, 4742.625000
 344, 37.668148, 0.153748, 4742.625000
 345, 37.821896, 0.153748, 4742.625000
 346, 37.975643, 0.153748, 4742.625000
 347, 38.129391, 0.153748, 4742.625000
 348, 38.283138, 0.153748, 4742.625000
 349, 38.436886, 0.153748, 4742.625000
 350, 38.590633, 0.153748, 4742.625000
 351, 38.744381, 0.153748, 4742.625000
 352, 38.898129, 0.153748, 4742.625000
 353, 39.051876, 0.153748, 4742.625000
 354, 39.205624, 0.153748, 4742.625000
 355, 39.359371, 0.153748, 4742.625000
 356, 39.513119, 0.153748, 4742.625000
